2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi"
4154796,Avengers: Endgame,"Action, Adventure, Drama"
0499549,Avatar,"Action, Adventure, Fantasy"
1825683,Black Panther,"Action, Adventure, Sci-Fi"
4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi"
0120338,Titanic,"Drama, Romance"
0369610,Jurassic World,"Action, Adventure, Sci-Fi"
0848228,The Avengers,"Action, Adventure, Sci-Fi"
2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy"
3606756,Incredibles 2,"Animation, Action, Adventure"
6105098,The Lion King,"Animation, Adventure, Drama"
0468569,The Dark Knight,"Action, Crime, Drama"
3748528,Rogue One,"Action, Adventure, Sci-Fi"
2527338,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy"
2771200,Beauty and the Beast,"Family, Fantasy, Musical"
2277860,Finding Dory,"Animation, Adventure, Comedy"
4520988,Frozen II,"Animation, Adventure, Comedy"
0120915,Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy"
0076759,Star Wars,"Action, Adventure, Fantasy"
2395427,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi"
1345836,The Dark Knight Rises,"Action, Adventure"
0298148,Shrek 2,"Animation, Adventure, Comedy"
0083866,E.T. the Extra-Terrestrial,"Family, Sci-Fi"
1979376,Toy Story 4,"Animation, Adventure, Comedy"
4154664,Captain Marvel,"Action, Adventure, Sci-Fi"
1951264,The Hunger Games: Catching Fire,"Action, Adventure, Mystery"
0383574,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy"
0110357,The Lion King,"Animation, Adventure, Drama"
4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi"
0435761,Toy Story 3,"Animation, Adventure, Comedy"
0451279,Wonder Woman,"Action, Adventure, Fantasy"
1300854,Iron Man Three,"Action, Adventure, Sci-Fi"
3498820,Captain America: Civil War,"Action, Adventure, Sci-Fi"
1392170,The Hunger Games,"Action, Adventure, Sci-Fi"
0145487,Spider-Man,"Action, Adventure, Sci-Fi"
2283362,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy"
