tt2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi"
tt4154796,Avengers: Endgame,"Action, Adventure, Drama"
tt0499549,Avatar,"Action, Adventure, Fantasy"
tt1825683,Black Panther,"Action, Adventure, Sci-Fi"
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi"
tt0120338,Titanic,"Drama, Romance"
tt0369610,Jurassic World,"Action, Adventure, Sci-Fi"
tt0848228,The Avengers,"Action, Adventure, Sci-Fi"
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy"
tt3606756,Incredibles 2,"Animation, Action, Adventure"
tt6105098,The Lion King,"Animation, Adventure, Drama"
tt0468569,The Dark Knight,"Action, Crime, Drama"
tt3748528,Rogue One,"Action, Adventure, Sci-Fi"
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy"
tt2771200,Beauty and the Beast,"Family, Fantasy, Musical"
tt2277860,Finding Dory,"Animation, Adventure, Comedy"
tt4520988,Frozen II,"Animation, Adventure, Comedy"
tt0120915,Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy"
tt0076759,Star Wars,"Action, Adventure, Fantasy"
tt2395427,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi"
tt1345836,The Dark Knight Rises,"Action, Adventure"
tt0298148,Shrek 2,"Animation, Adventure, Comedy"
tt0083866,E.T. the Extra-Terrestrial,"Family, Sci-Fi"
tt1979376,Toy Story 4,"Animation, Adventure, Comedy"
tt4154664,Captain Marvel,"Action, Adventure, Sci-Fi"
tt1951264,The Hunger Games: Catching Fire,"Action, Adventure, Mystery"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy"
tt0110357,The Lion King,"Animation, Adventure, Drama"
tt4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi"
tt0435761,Toy Story 3,"Animation, Adventure, Comedy"
tt0451279,Wonder Woman,"Action, Adventure, Fantasy"
tt1300854,Iron Man Three,"Action, Adventure, Sci-Fi"
tt3498820,Captain America: Civil War,"Action, Adventure, Sci-Fi"
tt1392170,The Hunger Games,"Action, Adventure, Sci-Fi"
tt0145487,Spider-Man,"Action, Adventure, Sci-Fi"
tt2283362,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy"
tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi"
tt1055369,Transformers: Revenge of the Fallen,"Action, Adventure, Sci-Fi"
tt2294629,Frozen,"Animation, Adventure, Comedy"
tt6320628,Spider-Man: Far from Home,"Action, Adventure, Sci-Fi"
tt3896198,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy"
tt0266543,Finding Nemo,"Animation, Adventure, Comedy"
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy"
tt0167260,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama"
tt0316654,Spider-Man 2,"Action, Adventure, Sci-Fi"
tt0335345,The Passion of the Christ,Drama
tt2709768,The Secret Life of Pets,"Animation, Adventure, Comedy"
tt1690953,Despicable Me 2,"Animation, Adventure, Comedy"
tt3040964,The Jungle Book,"Adventure, Drama, Family"
tt1431045,Deadpool,"Action, Adventure, Comedy"
tt2096673,Inside Out,"Animation, Adventure, Comedy"
tt6139732,Aladdin,"Adventure, Family, Fantasy"
tt2820852,Fast & Furious 7,"Action, Adventure, Thriller"
tt1399103,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi"
tt2179136,American Sniper,"Action, Biography, Drama"
tt0167261,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama"
tt2948356,Zootopia,"Animation, Adventure, Comedy"
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi"
tt0413300,Spider-Man 3,"Action, Adventure, Sci-Fi"
tt2293640,Minions,"Animation, Adventure, Comedy"
tt7286456,Joker,"Crime, Drama, Thriller"
tt1477834,Aquaman,"Action, Adventure, Fantasy"
tt2250912,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi"
tt1014759,Alice in Wonderland,"Adventure, Family, Fantasy"
tt2015381,Guardians of the Galaxy,"Action, Adventure, Comedy"
tt0109830,Forrest Gump,"Drama, Romance"
tt2975590,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi"
tt1396484,It,Horror
tt1386697,Suicide Squad,"Action, Adventure, Fantasy"
tt5463162,Deadpool 2,"Action, Adventure, Comedy"
tt0413267,Shrek the Third,"Animation, Adventure, Comedy"
tt0418279,Transformers,"Action, Adventure, Sci-Fi"
tt0371746,Iron Man,"Action, Adventure, Sci-Fi"
tt0241527,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy"
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,"Action, Adventure"
tt7975244,Jumanji: The Next Level,"Action, Adventure, Comedy"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama"
tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy"
tt1228705,Iron Man 2,"Action, Adventure, Sci-Fi"
tt0121765,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy"
tt0449088,Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy"
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy"
tt0116629,Independence Day,"Action, Adventure, Sci-Fi"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy"
tt1074638,Skyfall,"Action, Adventure, Thriller"
tt0903624,The Hobbit: An Unexpected Journey,"Adventure, Fantasy"
tt0417741,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family"
tt1325004,The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy"
tt1259571,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy"
tt0926084,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy"
tt0167404,The Sixth Sense,"Drama, Mystery, Thriller"
tt1049413,Up,"Animation, Adventure, Comedy"
tt1375666,Inception,"Action, Adventure, Sci-Fi"
tt0373889,Harry Potter and the Order of the Phoenix,"Action, Adventure, Family"
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy"
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy"
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi"
tt0330373,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy"
tt0198781,"Monsters, Inc.","Animation, Adventure, Comedy"
tt0099785,Home Alone,"Comedy, Family"
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi"
tt0234215,The Matrix Reloaded,"Action, Sci-Fi"
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy"
tt0290002,Meet the Fockers,"Comedy, Romance"
tt1119646,The Hangover,Comedy
tt1454468,Gravity,"Drama, Sci-Fi, Thriller"
tt2709692,The Grinch,"Animation, Comedy, Family"
tt3470600,Sing,"Animation, Comedy, Family"
tt1453405,Monsters University,"Animation, Adventure, Comedy"
tt0126029,Shrek,"Animation, Adventure, Comedy"
tt3469046,Despicable Me 3,"Animation, Adventure, Comedy"
tt0295297,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy"
tt0948470,The Amazing Spider-Man,"Action, Adventure, Sci-Fi"
tt0317705,The Incredibles,"Animation, Action, Adventure"
tt0073195,Jaws,"Adventure, Thriller"
tt0170016,How the Grinch Stole Christmas,"Comedy, Family, Fantasy"
tt1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi"
tt1170358,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy"
tt1490017,The Lego Movie,"Animation, Action, Adventure"
tt0796366,Star Trek,"Action, Adventure, Sci-Fi"
tt0480249,I Am Legend,"Action, Adventure, Drama"
tt0878804,The Blind Side,"Biography, Drama, Sport"
tt2310332,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy"
tt1411697,The Hangover Part II,Comedy
